user_device,user_osName,user_browserName,user_lat_lng,dest_lat_lng,booked_flight,booked_hotel,booked_rental,subscriber_id,subscriber_name,subscriber_tier,avg_daily_rate,commission_rate,mobile_optimized,p_conversion_ground_truth
mobile,iOS,Safari,"31.911,-86.7503","35.593,-96.7147",0.0,0,0.0,SUB_1,BudgetInns Global,1,85.0,0.1,1,0.029312230751356333
mobile,iOS,Safari,"31.911,-86.7503","35.593,-96.7147",0.0,0,0.0,SUB_2,Urban Stay Suites,2,180.0,0.12,1,0.029312230751356333
mobile,iOS,Safari,"31.911,-86.7503","35.593,-96.7147",0.0,0,0.0,SUB_3,Grand Horizon Resorts,3,450.0,0.15,0,0.013386917827664779
mobile,iOS,Safari,"31.911,-86.7503","35.593,-96.7147",0.0,0,0.0,SUB_4,EcoLodge Boutique,2,220.0,0.14,1,0.029312230751356333
mobile,iOS,Safari,"31.911,-86.7503","35.593,-96.7147",0.0,0,0.0,SUB_5,Express Stop Motel,1,-99.0,0.08,0,0.013386917827664779
tablet,Android,Samsung Internet,"32.8087,-95.098","42.0114,-111.0755",1.0,0,0.0,SUB_1,BudgetInns Global,1,85.0,0.1,1,0.06913842034334684
tablet,Android,Samsung Internet,"32.8087,-95.098","42.0114,-111.0755",1.0,0,0.0,SUB_2,Urban Stay Suites,2,180.0,0.12,1,0.06913842034334684
tablet,Android,Samsung Internet,"32.8087,-95.098","42.0114,-111.0755",1.0,0,0.0,SUB_3,Grand Horizon Resorts,3,450.0,0.15,0,0.06913842034334684
tablet,Android,Samsung Internet,"32.8087,-95.098","42.0114,-111.0755",1.0,0,0.0,SUB_4,EcoLodge Boutique,2,220.0,0.14,1,0.06913842034334684
tablet,Android,Samsung Internet,"32.8087,-95.098","42.0114,-111.0755",1.0,0,0.0,SUB_5,Express Stop Motel,1,-99.0,0.08,0,0.06913842034334684
desktop,macOS,Safari,"41.0669,-82.8588","51.3274,-87.1283",0.0,0,0.0,SUB_1,BudgetInns Global,1,85.0,0.1,1,0.029312230751356333
desktop,macOS,Safari,"41.0669,-82.8588","51.3274,-87.1283",0.0,0,0.0,SUB_2,Urban Stay Suites,2,180.0,0.12,1,0.029312230751356333
desktop,macOS,Safari,"41.0669,-82.8588","51.3274,-87.1283",0.0,0,0.0,SUB_3,Grand Horizon Resorts,3,450.0,0.15,0,0.057324175898868755
desktop,macOS,Safari,"41.0669,-82.8588","51.3274,-87.1283",0.0,0,0.0,SUB_4,EcoLodge Boutique,2,220.0,0.14,1,0.029312230751356333
desktop,macOS,Safari,"41.0669,-82.8588","51.3274,-87.1283",0.0,0,0.0,SUB_5,Express Stop Motel,1,-99.0,0.08,0,0.029312230751356333
desktop,Linux,Firefox,"29.896,-103.6478","29.3774,-98.9793",0.0,0,1.0,SUB_1,BudgetInns Global,1,85.0,0.1,1,0.025332703226871745
desktop,Linux,Firefox,"29.896,-103.6478","29.3774,-98.9793",0.0,0,1.0,SUB_2,Urban Stay Suites,2,180.0,0.12,1,0.025332703226871745
desktop,Linux,Firefox,"29.896,-103.6478","29.3774,-98.9793",0.0,0,1.0,SUB_3,Grand Horizon Resorts,3,450.0,0.15,0,0.025332703226871745
desktop,Linux,Firefox,"29.896,-103.6478","29.3774,-98.9793",0.0,0,1.0,SUB_4,EcoLodge Boutique,2,220.0,0.14,1,0.025332703226871745
desktop,Linux,Firefox,"29.896,-103.6478","29.3774,-98.9793",0.0,0,1.0,SUB_5,Express Stop Motel,1,-99.0,0.08,0,0.025332703226871745
mobile,Android,Samsung Internet,"47.4239,-75.4971","55.7476,-61.0651",1.0,0,0.0,SUB_1,BudgetInns Global,1,85.0,0.1,1,0.06913842034334684
mobile,Android,Samsung Internet,"47.4239,-75.4971","55.7476,-61.0651",1.0,0,0.0,SUB_2,Urban Stay Suites,2,180.0,0.12,1,0.06913842034334684
mobile,Android,Samsung Internet,"47.4239,-75.4971","55.7476,-61.0651",1.0,0,0.0,SUB_3,Grand Horizon Resorts,3,450.0,0.15,0,0.03229546469845053
mobile,Android,Samsung Internet,"47.4239,-75.4971","55.7476,-61.0651",1.0,1,0.0,SUB_4,EcoLodge Boutique,2,220.0,0.14,1,0.06913842034334684
mobile,Android,Samsung Internet,"47.4239,-75.4971","55.7476,-61.0651",1.0,0,0.0,SUB_5,Express Stop Motel,1,-99.0,0.08,0,0.03229546469845053
mobile,iOS,Chrome,"38.0048,-115.7849","43.1902,-121.937",0.0,0,1.0,SUB_1,BudgetInns Global,1,85.0,0.1,1,0.025332703226871745
mobile,iOS,Chrome,"38.0048,-115.7849","43.1902,-121.937",0.0,0,1.0,SUB_2,Urban Stay Suites,2,180.0,0.12,1,0.025332703226871745
mobile,iOS,Chrome,"38.0048,-115.7849","43.1902,-121.937",0.0,0,1.0,SUB_3,Grand Horizon Resorts,3,450.0,0.15,0,0.011543752483922297
mobile,iOS,Chrome,"38.0048,-115.7849","43.1902,-121.937",0.0,0,1.0,SUB_4,EcoLodge Boutique,2,220.0,0.14,1,0.025332703226871745
mobile,iOS,Chrome,"38.0048,-115.7849","43.1902,-121.937",0.0,0,1.0,SUB_5,Express Stop Motel,1,-99.0,0.08,0,0.011543752483922297
mobile,iOS,Chrome,"36.1901,-79.6405","42.9177,-73.489",0.0,0,1.0,SUB_1,BudgetInns Global,1,85.0,0.1,1,0.025332703226871745
mobile,iOS,Chrome,"36.1901,-79.6405","42.9177,-73.489",0.0,0,1.0,SUB_2,Urban Stay Suites,2,180.0,0.12,1,0.025332703226871745
mobile,iOS,Chrome,"36.1901,-79.6405","42.9177,-73.489",0.0,0,1.0,SUB_3,Grand Horizon Resorts,3,450.0,0.15,0,0.011543752483922297
mobile,iOS,Chrome,"36.1901,-79.6405","42.9177,-73.489",0.0,0,1.0,SUB_4,EcoLodge Boutique,2,220.0,0.14,1,0.025332703226871745
mobile,iOS,Chrome,"36.1901,-79.6405","42.9177,-73.489",0.0,0,1.0,SUB_5,Express Stop Motel,1,-99.0,0.08,0,0.011543752483922297
desktop,Windows,Chrome,"38.9455,-76.934","38.7235,-82.9261",0.0,0,0.0,SUB_1,BudgetInns Global,1,85.0,0.1,1,0.016302499371440946
desktop,Windows,Chrome,"38.9455,-76.934","38.7235,-82.9261",0.0,0,0.0,SUB_2,Urban Stay Suites,2,180.0,0.12,1,0.016302499371440946
desktop,Windows,Chrome,"38.9455,-76.934","38.7235,-82.9261",0.0,0,0.0,SUB_3,Grand Horizon Resorts,3,450.0,0.15,0,0.016302499371440946
desktop,Windows,Chrome,"38.9455,-76.934","38.7235,-82.9261",0.0,0,0.0,SUB_4,EcoLodge Boutique,2,220.0,0.14,1,0.016302499371440946
